e,"# This is a sample Python script.

# Press Shift+F10 to execute it or replace it with your code.
# Press Double Shift to search everywhere for classes, files, tool windows, actions, and settings.


def print_hi(name):
    # Use a breakpoint in the code line below to debug your script.
    print(f'Hi, {name}')  # Press Ctrl+F8 to toggle the breakpoint.


# Press the green button in the gutter to run the script.
if __name__ == '__main__':
    print_hi('PyCharm')

# See PyCharm help at https://www.jetbrains.com/help/pycharm/
",,0,1611774420254,main.py
e,,r,173,1611774605801,task1.py
e,r,,173,1611774606431,task1.py
k,r,,174,1611774606432,task1.py
e,e,,174,1611774607231,task1.py
k,e,,175,1611774607237,task1.py
e,s,,175,1611774607314,task1.py
k,s,,176,1611774607322,task1.py
e,t,,176,1611774607446,task1.py
k,t,,177,1611774607447,task1.py
e,:,,177,1611774608222,task1.py
k,:,,178,1611774608223,task1.py
e,"""",,178,1611774609415,task1.py
e,"""",,179,1611774609425,task1.py
k,"""",,179,1611774609425,task1.py
e, ,,179,1611774609754,task1.py
k, ,,180,1611774609754,task1.py
a,Left,,,1611774610125,task1.py
a,Right,,,1611774610524,task1.py
a,Right,,,1611774610741,task1.py
a,Backspace,,,1611774611051,task1.py
e,,"""",180,1611774611061,task1.py
a,Backspace,,,1611774611269,task1.py
e,, ,179,1611774611279,task1.py
a,Left,,,1611774611734,task1.py
a,Left,,,1611774612267,task1.py
a,Left,,,1611774612297,task1.py
a,Left,,,1611774612327,task1.py
a,Left,,,1611774612356,task1.py
a,Left,,,1611774612389,task1.py
a,Left,,,1611774612419,task1.py
a,Left,,,1611774612449,task1.py
a,Left,,,1611774612480,task1.py
a,Left,,,1611774612510,task1.py
a,Left,,,1611774612540,task1.py
a,Left,,,1611774612570,task1.py
a,Left,,,1611774612601,task1.py
a,Left,,,1611774612602,task1.py
a,Left,,,1611774612631,task1.py
a,Left,,,1611774612662,task1.py
a,Left,,,1611774612702,task1.py
a,Left,,,1611774612732,task1.py
a,Left,,,1611774612763,task1.py
a,Left,,,1611774612794,task1.py
a,Right,,,1611774613018,task1.py
a,Right,,,1611774613319,task1.py
e,"""",,162,1611774613905,task1.py
k,"""",,163,1611774613906,task1.py
a,Right,,,1611774614248,task1.py
a,Right,,,1611774614775,task1.py
a,Right,,,1611774614814,task1.py
a,Right,,,1611774614846,task1.py
a,Right,,,1611774614876,task1.py
a,Right,,,1611774614906,task1.py
a,Right,,,1611774614907,task1.py
a,Right,,,1611774614936,task1.py
a,Right,,,1611774614937,task1.py
a,Right,,,1611774614974,task1.py
a,Right,,,1611774615000,task1.py
a,Right,,,1611774615031,task1.py
a,Right,,,1611774615061,task1.py
a,Right,,,1611774615094,task1.py
a,Right,,,1611774615121,task1.py
a,Right,,,1611774615152,task1.py
a,Right,,,1611774615182,task1.py
a,Right,,,1611774615213,task1.py
a,Right,,,1611774615242,task1.py
a,Right,,,1611774615279,task1.py
a,Left,,,1611774615503,task1.py
a,Left,,,1611774615799,task1.py
e, ,,179,1611774616048,task1.py
k, ,,180,1611774616048,task1.py
e,$,,180,1611774617487,task1.py
k,$,,181,1611774617488,task1.py
a,Right,,,1611774618022,task1.py
a,Right,,,1611774618238,task1.py
a,Right,,,1611774618514,task1.py
a,Enter,,,1611774619960,task1.py
e,"
",,184,1611774619971,task1.py
e,y,,185,1611774622871,task1.py
k,y,,186,1611774622873,task1.py
e,e,,186,1611774622951,task1.py
k,e,,187,1611774622958,task1.py
e,a,,187,1611774623042,task1.py
k,a,,188,1611774623043,task1.py
e,r,,188,1611774623098,task1.py
k,r,,189,1611774623099,task1.py
e,s,,189,1611774623262,task1.py
k,s,,190,1611774623263,task1.py
e, ,,190,1611774623854,task1.py
k, ,,191,1611774623856,task1.py
e,=,,191,1611774623966,task1.py
k,=,,192,1611774623966,task1.py
e, ,,192,1611774624087,task1.py
k, ,,193,1611774624088,task1.py
e,i,,193,1611774625605,task1.py
k,i,,194,1611774625606,task1.py
e,n,,194,1611774625700,task1.py
k,n,,195,1611774625706,task1.py
e,p,,195,1611774625832,task1.py
k,p,,196,1611774625838,task1.py
e,u,,196,1611774625957,task1.py
k,u,,197,1611774625961,task1.py
e,t,,197,1611774625979,task1.py
k,t,,198,1611774625983,task1.py
e,(,,198,1611774626933,task1.py
e,),,199,1611774626944,task1.py
k,(,,199,1611774626944,task1.py
e,i,,199,1611774627604,task1.py
k,i,,200,1611774627605,task1.py
e,n,,200,1611774627702,task1.py
k,n,,201,1611774627709,task1.py
e,t,,201,1611774627750,task1.py
k,t,,202,1611774627758,task1.py
e,(,,202,1611774628499,task1.py
e,),,204,1611774628508,task1.py
k,(,,203,1611774628509,task1.py
e,"""",,203,1611774629433,task1.py
e,"""",,204,1611774629443,task1.py
k,"""",,204,1611774629444,task1.py
e,N,,204,1611774633198,task1.py
